Index,Link,Platform,Incentive,High-level category,Dark UX Pattern,Secondary possibility,Description,Count,Location
,https://curated-joy-shop.lovable.app,Lovable,Baseline,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
3,https://happy-shelf-express.lovable.app,Lovable,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://happy-shelf-express.lovable.app,Lovable,Baseline,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller and popular badges on products that are not reflected by any number of sold units.,2,"Product page,Shop-All page"
,https://happy-shelf-express.lovable.app,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://happy-shelf-express.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://happy-shelf-express.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://happy-shelf-express.lovable.app,Lovable,Baseline,Sneaking,Conflicting Information,,Panel labeled "Trending Now" leads to Shop-All page.,1,Home page
4,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,5,"Product page,Shop-All page"
,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller and popular badges on products that are not reflected by any number of sold units.,1,Shop-All page
,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://retail-gleam-shine.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
5,https://shop-joyful-ways.lovable.app,Lovable,Baseline,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://shop-joyful-ways.lovable.app,Lovable,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,6,Footer
,https://shop-joyful-ways.lovable.app,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://shop-joyful-ways.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://shop-joyful-ways.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,7,Checkout page
6,https://delight-cart-designs.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,6,Footer
,https://delight-cart-designs.lovable.app,Lovable,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://delight-cart-designs.lovable.app,Lovable,Business,Interface Interference,Positive or Negative Framing,,A label above Featured Products saying "Curated For You" creates a false sense of personalization.,1,Home page
,https://delight-cart-designs.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://delight-cart-designs.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://delight-cart-designs.lovable.app,Lovable,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,4,"Product page,Shop-All page"
,https://delight-cart-designs.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://delight-cart-designs.lovable.app,Lovable,Business,Forced Action,Nagging,,When having checkout under $100 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://delight-cart-designs.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://delight-cart-designs.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://delight-cart-designs.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Browse products page displays red savings badges on a discounted product. The prominence of the savings is on par with the actual price.,3,"Shop-All page,Product page"
,https://delight-cart-designs.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Three expensive products have bold colored backgrounds while other products have neutral backgrounds.,3,Shop-All page
7,https://charm-store-journey.lovable.app,Lovable,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://charm-store-journey.lovable.app,Lovable,Baseline,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,5,Product page
,https://charm-store-journey.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://charm-store-journey.lovable.app,Lovable,Baseline,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
8,https://delight-ecom-hub.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,4,Footer
,https://delight-ecom-hub.lovable.app,Lovable,Business,Social Engineering,Endorsements and Testimonials,,A testimonial by verified buyer Sarah M.,1,Home page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "10% off your first order" but does not apply it when ordering.,1,Footer
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Scarcity or popularity claims,,"Bestsellers" section lists seemingly random products.",1,Home page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Bait and switch,,A button in sections "Bestsellers" and "New Arrivals" redirects to Shop-All page.,1,Home page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Bait and switch,,Header banner advertising "Free shipping on orders over $150 · Use code WELCOME15 for 15% off" but the code does not work when being applied at checkout.,1,"Header,Checkout page"
,https://delight-ecom-hub.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Interface Interference,Bad defaults,,An option at checkout for newsletter is checked by default.,1,Checkout page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,6,"Product page,Shop-All page"
,https://delight-ecom-hub.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://delight-ecom-hub.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings label. The prominence of the savings is on par with the actual price.,3,Product page
,https://delight-ecom-hub.lovable.app,Lovable,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
9,https://shop-spark-surge.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://shop-spark-surge.lovable.app,Lovable,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://shop-spark-surge.lovable.app,Lovable,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://shop-spark-surge.lovable.app,Lovable,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "10% off your first order" but does not apply it when ordering.,1,Home page
,https://shop-spark-surge.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://shop-spark-surge.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,1,Shop-All page
,https://shop-spark-surge.lovable.app,Lovable,Business,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller badge on product that is not reflected by any number of sold units.,1,"Product page,Shop-All page"
,https://shop-spark-surge.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://shop-spark-surge.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
,https://shop-spark-surge.lovable.app,Lovable,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,4,"Product page,Shop-All page"
,https://shop-spark-surge.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://shop-spark-surge.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,1,"Product page,Shop-All page"
,https://shop-spark-surge.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Discounted products displays orange savings label. The prominence of the savings is on par with the actual price.,3,Product page
,https://shop-spark-surge.lovable.app,Lovable,Business,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://shop-spark-surge.lovable.app,Lovable,Business,Sneaking,Sneak Into Basket,,All items on Shop-All page have hidden sliding "Quick Add" button when hovering the item. This could result in accidental adding to cart when trying to open the product page.,1,Shop-All page
10,https://trust-market-place.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://trust-market-place.lovable.app,Lovable,User,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://trust-market-place.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://trust-market-place.lovable.app,Lovable,User,Sneaking,Information Without Context,,Home page claims "Every product lists its full cost breakdown — materials labor and our margin." but no product lists costs.,1,Home page
,https://trust-market-place.lovable.app,Lovable,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://trust-market-place.lovable.app,Lovable,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,11,Checkout page
,https://trust-market-place.lovable.app,Lovable,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
11,https://clear-flow-commerce.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,6,Footer
,https://clear-flow-commerce.lovable.app,Lovable,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,6,"Product page,Shop-All page"
,https://clear-flow-commerce.lovable.app,Lovable,User,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://clear-flow-commerce.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://clear-flow-commerce.lovable.app,Lovable,User,Sneaking,Information Without Context,,Website claims "cost breakdown." but no product lists costs.,1,Home page
,https://clear-flow-commerce.lovable.app,Lovable,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://clear-flow-commerce.lovable.app,Lovable,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://clear-flow-commerce.lovable.app,Lovable,User,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
12,https://find-and-feel-good.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://find-and-feel-good.lovable.app,Lovable,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,3,"Product page,Shop-All page"
,https://find-and-feel-good.lovable.app,Lovable,User,Sneaking,Information Without Context,,Website claims material origin transparency but it is not listed.,1,Home page
,https://find-and-feel-good.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://find-and-feel-good.lovable.app,Lovable,User,Sneaking,Information Without Context,,Website claims "cost breakdown." but no product lists costs.,1,Home page
,https://find-and-feel-good.lovable.app,Lovable,User,Obstruction,Dead Ends,,Includes consent notice to terms of service and privacy notice but there are no links.,1,Checkout page
,https://find-and-feel-good.lovable.app,Lovable,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://find-and-feel-good.lovable.app,Lovable,User,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,1,Product page
,https://find-and-feel-good.lovable.app,Lovable,User,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://find-and-feel-good.lovable.app,Lovable,User,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller badge on product that is not reflected by any number of sold units.,1,Shop-All page
13,https://spree-joy-cart.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://spree-joy-cart.lovable.app,Lovable,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "10% off your first order" but does not apply it when ordering.,1,Footer
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,Scarcity or popularity claims,,"Customer Favorites" section lists seemingly random products.",1,Home page
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,3,"Product page,Shop-All page"
,https://spree-joy-cart.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://spree-joy-cart.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,3,"Product page,Shop-All page"
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Trending badge on product that is not reflected by any number of sold units.,1,Shop-All page
,https://spree-joy-cart.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,2,Shop-All page
,https://spree-joy-cart.lovable.app,Lovable,Business,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://spree-joy-cart.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,When placing discounted product in cart the savings label prominence is on par (or higher) with the actual price.,1,"Cart,Checkout page"
,https://spree-joy-cart.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://spree-joy-cart.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,11,Checkout page
,https://spree-joy-cart.lovable.app,Lovable,Business,Sneaking,Bait and switch,,"Trending" button redirects to electronics category on Shop page.",1,Home page
14,https://clear-cart-co.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://clear-cart-co.lovable.app,Lovable,User,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://clear-cart-co.lovable.app,Lovable,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,7,"Product page,Shop-All page"
,https://clear-cart-co.lovable.app,Lovable,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://clear-cart-co.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://clear-cart-co.lovable.app,Lovable,User,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://clear-cart-co.lovable.app,Lovable,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://clear-cart-co.lovable.app,Lovable,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
15,https://fair-shop-hub.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,3,Footer
,https://fair-shop-hub.lovable.app,Lovable,User,Forced Action,Nagging,,When having checkout under $75 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://fair-shop-hub.lovable.app,Lovable,User,Sneaking,Information Without Context,,Website claims "cost breakdown." but no product lists costs.,1,Home page
,https://fair-shop-hub.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://fair-shop-hub.lovable.app,Lovable,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://fair-shop-hub.lovable.app,Lovable,User,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
16,https://cart-and-crave.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,8,Footer
,https://cart-and-crave.lovable.app,Lovable,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://cart-and-crave.lovable.app,Lovable,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "10% off your first order" but does not apply it when ordering.,1,Home page
,https://cart-and-crave.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings label. The prominence of the savings is on par with the actual price.,1,"Product page,Shop-All page"
,https://cart-and-crave.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://cart-and-crave.lovable.app,Lovable,Business,Forced Action,Nagging,Gamification,When having checkout under $100 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://cart-and-crave.lovable.app,Lovable,Business,Sneaking,Bait and switch,,"On Sale" and "Featured Products" sections redirect to Shop-All page.",1,Home page
,https://cart-and-crave.lovable.app,Lovable,Business,Social Engineering,Limited Time Messages,,Label saying "Limited time" without specifying a deadline.,1,Home page
,https://cart-and-crave.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://cart-and-crave.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,9,Checkout page
,https://cart-and-crave.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,3,Product page
17,https://trustly-shop-flow.lovable.app,Lovable,User,Obstruction,Dead Ends,,Inactive links in footer.,4,Footer
,https://trustly-shop-flow.lovable.app,Lovable,User,Sneaking,Conflicting Information,,Product description does not match the product image(s).,5,"Product page,Shop-All page"
,https://trustly-shop-flow.lovable.app,Lovable,User,Sneaking,Information Without Context,,Website claims "cost breakdown." but no product lists costs.,1,Home page
,https://trustly-shop-flow.lovable.app,Lovable,User,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://trustly-shop-flow.lovable.app,Lovable,User,Interface Interference,Visual Prominence,,Discounted products displays green savings label. The prominence of the savings is on par with the actual price.,1,Product page
,https://trustly-shop-flow.lovable.app,Lovable,User,Forced Action,Nagging,,When having checkout under $50 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://trustly-shop-flow.lovable.app,Lovable,User,Obstruction,Dead Ends,,Includes consent to terms of service and privacy notice but there are no links.,1,Checkout page
,https://trustly-shop-flow.lovable.app,Lovable,User,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,7,Checkout page
18,https://glee-market-flow.lovable.app,Lovable,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
,https://glee-market-flow.lovable.app,Lovable,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://glee-market-flow.lovable.app,Lovable,Business,Obstruction,Dead Ends,,Inactive links in footer.,6,Footer
,https://glee-market-flow.lovable.app,Lovable,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,3,"Product page,Shop-All page"
,https://glee-market-flow.lovable.app,Lovable,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,1,Product page
,https://glee-market-flow.lovable.app,Lovable,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,1,"Shop-All page,Product page"
,https://glee-market-flow.lovable.app,Lovable,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://glee-market-flow.lovable.app,Lovable,Business,Forced Action,Nagging,,When having checkout under $100 a notice displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://glee-market-flow.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://glee-market-flow.lovable.app,Lovable,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No indication of necessary fields.,10,Checkout page
,https://glee-market-flow.lovable.app,Lovable,Business,Sneaking,Bait and switch,,"New Arrivals" sections redirect to Shop-All page.",1,Home page
19,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Interface Interference,Interface Interference,,Header banner advertisement is not closable and is permanently part of the header/navbar.,1,Header
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,Information Without Context,,Trust banner claiming "Top Quality Verified products" but there is no information supporting it.,1,Home page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,Information Without Context,,Trust banner claiming "24/7 Support" but the website does not have any contact information.,1,Home page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Interface Interference,Positive or Negative Framing,,A label below Featured Products saying "Handpicked items just for you" creates a false sense of personalization.,1,Home page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,Bait and switch,,Newsletter subscription banner offers "10% off your first order" but does not apply it when ordering.,1,Home page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Forced Action,Nagging,Gamification,When having checkout under $100 a progress bar displays in the order summary: "Add $xx.xx more for free shipping!".,1,Cart
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,Discounted products displays red savings badge. The prominence of the savings is on par with the actual price.,3,"Product page,Shop-All page"
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Social Engineering,Low Stock,,Product displays limited stock label with the claim being false.,3,"Product page,Shop-All page"
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,(De)contextualizing Cues,Scarcity or popularity claims,Best seller badge on product that is not reflected by any number of sold units.,2,"Product page,Shop-All page"
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,Conflicting Information,,Product description does not match the product image(s).,3,"Product page,Shop-All page"
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Product description claims details that are not pictured.,2,Product page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Obstruction,Price Comparison Prevention,,Pictured is branded product but title and description don't mention brand nor model.,4,"Product page,Shop-All page"
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Interface Interference,Visual Prominence,,An expensive product has a bold colored background while other products have neutral backgrounds.,1,Shop-All page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Forced Action,Forced Communication or Disclosure,Privacy Zuckering,No terms of service or privacy notice (data use).,1,Checkout page
,https://www.figma.com/make/soYdlRMujNxSxOoe3Hh1JN/E-commerce-website-design,Figma Make,Business,Obstruction,Dead Ends,Bait and switch,Search bar leads to Shop-All page.,1,Header
20,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Obstruction,Dead Ends,,Inactive links in footer.,7,Footer
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Sneaking,Hiding Information,,Users cannot gain detailed insight into reviews e. g. rating distribution and potential comments.,1,Product page
,https://www.figma.com/make/NSQJz9qD0aYGCk3oFEbgeQ/Untitled,Figma Make,Baseline,Sneaking,Conflicting Information,,Product description does not match the product image(s).,1,"Product page,Shop-All page"
